,Lng,Lat,Cid,tradeTime,followers,totalPrice,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage
8251,116.48326399999999,39.902287,1111027377745,20161015,53,1060.0,147.29,3.0,1,1,2.0,13,3.0,2008.0,4,6,0.667,1.0,0.0,1.0,7,70165.0
244205,116.28740800000001,39.906807,1111027377326,20120721,0,202.0,75.76,1.0,2,1,1.0,24,1.0,2000.0,1,6,0.182,1.0,0.0,0.0,8,61273.0
222854,116.379698,39.848129,1111027378082,20121111,0,255.0,76.77,1.0,2,1,2.0,12,3.0,2004.0,1,6,0.33299999999999996,1.0,1.0,0.0,2,60793.0
119341,116.47638,39.875690999999996,1111027378305,20120720,0,300.0,112.97,3.0,2,1,2.0,25,1.0,2005.0,1,6,0.33299999999999996,1.0,0.0,1.0,7,65820.0
173994,116.45413500000001,39.850772,1111027382460,20150912,2,113.0,37.67,1.0,0,1,1.0,23,1.0,2011.0,4,6,0.192,1.0,0.0,1.0,7,44711.0
138603,116.51291599999999,39.864253999999995,1111027376354,20130329,0,255.0,95.16,2.0,1,1,1.0,16,4.0,2005.0,1,6,0.5,1.0,1.0,1.0,7,46072.0
219330,116.182548,39.778533,1111027381428,20160312,9,165.0,88.92,1.0,1,1,1.0,15,3.0,2009.0,4,6,0.4,1.0,0.0,0.0,5,32460.0
81730,116.44616699999999,39.969777,1111027380579,20170730,0,310.0,42.28,1.0,1,1,1.0,6,4.0,1988.0,1,2,0.33299999999999996,0.0,0.0,0.0,7,66670.0
229346,116.36856599999999,39.872114,1111027381849,20140724,0,245.0,65.98,2.0,1,1,1.0,18,1.0,1993.0,4,6,0.25,1.0,1.0,0.0,2,63326.0
1233,116.462281,39.937892,1111027379457,20160718,30,388.0,53.55,1.0,1,1,1.0,18,3.0,1987.0,4,6,0.25,1.0,0.0,1.0,7,77534.0
103405,116.34408700000002,40.068333,1111027378168,20140609,15,258.0,100.78,3.0,2,1,1.0,6,4.0,1995.0,4,2,0.5,0.0,1.0,0.0,6,45733.0
49944,116.52210500000001,39.922247,1111027374649,20161227,45,575.0,115.12,3.0,2,1,2.0,22,3.0,2001.0,3,6,0.33299999999999996,1.0,1.0,0.0,7,53994.0
186744,116.43759399999999,39.961335,1111027373928,20160410,22,217.5,43.63,1.0,1,1,1.0,16,1.0,1993.0,3,6,0.133,1.0,1.0,1.0,7,67246.0
272291,116.21005,39.919736,1111027375873,20140113,16,197.0,58.83,2.0,1,1,1.0,6,4.0,1985.0,1,2,0.25,0.0,1.0,0.0,9,47270.0
80279,116.612765,39.905006,1111027374043,20170828,15,370.0,73.98,2.0,1,1,1.0,22,1.0,2005.0,4,6,0.25,1.0,1.0,0.0,7,45447.0
314219,116.343245,39.900529,1111027378998,20151210,1,164.0,27.09,1.0,1,1,1.0,26,1.0,2006.0,3,6,0.111,1.0,1.0,1.0,10,92360.0
97270,116.382471,40.08696,1111027380069,20121013,0,143.0,65.06,1.0,1,1,1.0,6,4.0,2003.0,1,2,0.25,0.0,1.0,0.0,6,53652.0
236157,116.244883,39.847396999999994,1111027381432,20151226,9,175.0,69.52,2.0,1,1,1.0,6,4.0,1997.0,1,2,0.5,0.0,1.0,0.0,2,39835.0
164132,116.605893,40.054165000000005,1111027373802,20150316,0,103.0,56.87,2.0,1,1,1.0,6,4.0,1988.0,1,2,0.33299999999999996,0.0,0.0,0.0,7,39306.0
232018,116.29553600000001,39.848391,1111027380820,20150406,4,232.0,75.6,2.0,1,1,1.0,6,4.0,1996.0,3,2,0.33299999999999996,0.0,1.0,1.0,2,47480.0
286151,116.647356,39.896263,1111027380847,20130419,3,263.0,124.86,3.0,2,1,2.0,6,4.0,2002.0,1,2,0.5,0.0,1.0,1.0,11,47048.0
132704,116.47638,39.875690999999996,1111027378305,20121113,0,308.0,113.47,3.0,2,1,2.0,25,1.0,2002.0,1,6,0.2,1.0,0.0,0.0,7,65820.0
198049,116.41799099999999,39.956806,1111027375656,20130704,3,316.5,66.33,3.0,1,1,1.0,16,1.0,1992.0,1,2,0.28600000000000003,1.0,1.0,1.0,1,97274.0
121374,116.509126,39.942333000000005,1111027379227,20111028,0,133.0,59.15,2.0,1,1,1.0,6,4.0,1995.0,1,2,0.33299999999999996,0.0,1.0,0.0,7,55493.0
33961,116.521988,39.927428000000006,1111027378890,20161204,175,375.0,58.14,1.0,1,1,1.0,20,1.0,2006.0,4,6,0.16699999999999998,1.0,0.0,1.0,7,73994.0
161915,116.55306100000001,39.923838,1111027377807,20150131,1,207.0,88.75,3.0,1,1,1.0,24,1.0,1998.0,3,6,0.33299999999999996,1.0,1.0,0.0,7,42508.0
276789,116.22663999999999,39.907108,1111027381546,20160524,11,380.0,100.74,3.0,2,1,1.0,6,4.0,1995.0,4,2,0.5,0.0,0.0,1.0,9,47958.0
246550,116.311774,39.942594,1111027376139,20130309,0,398.0,110.0,2.0,1,1,1.0,18,1.0,1996.0,1,6,0.182,1.0,1.0,1.0,8,69804.0
284283,116.63264,39.913740999999995,1111027376534,20120304,0,170.0,111.0,3.0,2,1,2.0,15,4.0,2002.0,1,6,0.667,1.0,1.0,1.0,11,39787.0
53084,116.416156,40.082584999999995,1111027380054,20161222,10,400.0,95.69,2.0,1,1,1.0,32,1.0,2003.0,4,2,0.375,1.0,0.0,1.0,6,33820.0
62899,116.364975,40.073376,1111027378909,20170308,30,403.0,88.68,2.0,1,1,1.0,28,3.0,2009.0,3,6,0.5,1.0,1.0,1.0,6,44394.0
313060,116.3531,39.879839000000004,1111027382266,20151214,35,223.0,54.1,2.0,1,1,1.0,6,4.0,1982.0,4,2,0.33299999999999996,0.0,0.0,0.0,10,78970.0
318207,116.54671,39.760284000000006,1111027380858,20151020,5,130.0,66.63,1.0,1,1,1.0,6,4.0,2003.0,3,2,0.33299999999999996,0.0,1.0,0.0,3,32924.0
315071,116.38926399999998,39.886874,1111027376481,20160221,36,483.0,66.06,2.0,1,1,1.0,10,3.0,2004.0,4,6,0.5,1.0,1.0,1.0,10,91507.0
204264,116.41824799999999,39.964378,1111027375663,20160401,170,440.0,68.23,3.0,1,1,1.0,5,4.0,1979.0,1,2,0.33299999999999996,0.0,0.0,1.0,1,91391.0
290275,116.639467,39.904485,1111027382242,20141221,1,153.0,69.37,2.0,1,1,1.0,6,4.0,1998.0,4,2,0.5,0.0,1.0,0.0,11,45147.0
87360,116.34408700000002,40.068333,1111027378168,20171027,101,379.0,100.43,3.0,1,1,1.0,6,4.0,1995.0,3,2,0.5,0.0,0.0,0.0,6,45733.0
10655,116.268119,39.937895000000005,1111027380720,20170331,79,846.0,111.0,3.0,2,1,2.0,6,4.0,2004.0,3,2,0.33299999999999996,0.0,0.0,0.0,8,68479.0
278894,116.648422,40.137571,1111027381324,20130426,0,72.0,36.57,1.0,0,1,1.0,6,4.0,1993.0,1,2,0.25,0.0,0.0,1.0,13,39215.0
91787,116.23558200000001,39.88187,1111045501689,20171221,0,265.0,59.69,1.0,1,1,1.0,34,3.0,2015.0,3,6,0.25,0.0,0.0,0.0,2,44275.0
140512,116.509143,39.925387,1111027375038,20130825,2,201.0,59.68,1.0,1,1,1.0,33,1.0,2008.0,1,6,0.3,1.0,0.0,1.0,7,56336.0
242412,116.365503,39.951446000000004,1111027377162,20120606,0,425.0,98.52,2.0,2,1,1.0,23,1.0,1998.0,1,6,0.375,1.0,1.0,1.0,8,98181.0
289036,116.643924,39.889841,1111027377211,20140801,6,174.0,81.27,2.0,1,1,1.0,12,3.0,2005.0,4,6,0.33299999999999996,1.0,1.0,0.0,11,43197.0
298060,116.37729399999999,39.920914,1111027375053,20121126,2,437.0,77.9,3.0,1,1,1.0,7,4.0,1999.0,1,2,0.25,0.0,0.0,1.0,10,155920.0
43687,116.37298700000001,39.87308,1111027377698,20170110,37,556.0,72.74,2.0,1,1,1.0,6,4.0,2001.0,3,2,0.5,0.0,1.0,0.0,2,60007.0
159237,116.49954,39.904937,1111027376768,20150705,10,157.5,48.39,1.0,0,1,1.0,21,3.0,,4,6,0.154,1.0,1.0,1.0,7,66753.0
3762,116.414549,39.972390000000004,1111027375657,20160826,138,572.0,81.73,3.0,1,1,1.0,16,1.0,1994.0,4,6,0.125,1.0,1.0,1.0,1,89618.0
79321,116.585426,39.911902000000005,1111027377521,20170812,44,280.0,68.1,2.0,1,1,1.0,22,1.0,2010.0,3,6,0.2,1.0,1.0,1.0,7,39509.0
130500,116.609655,39.910517999999996,1111027379521,20120903,0,95.5,60.51,2.0,1,1,1.0,6,4.0,1995.0,1,4,0.5,0.0,0.0,1.0,7,44288.0
6491,116.448075,39.984466999999995,1111027380101,20160715,25,1016.0,92.02,3.0,2,1,1.0,27,4.0,2010.0,4,6,0.5,1.0,1.0,1.0,7,129361.0
175190,116.51291599999999,39.864253999999995,1111027376354,20151007,8,335.0,128.5,3.0,2,1,2.0,18,3.0,2007.0,4,6,0.5,1.0,1.0,0.0,7,46072.0
265750,116.35491299999998,40.040671,1111027382106,20160319,133,458.0,93.73,2.0,1,1,1.0,31,1.0,,1,6,0.3,1.0,1.0,1.0,8,60688.0
292205,116.703713,39.95821,1111027379259,20151108,18,180.0,104.85,3.0,1,1,1.0,6,4.0,1994.0,4,4,0.5,0.0,1.0,0.0,11,32117.0
266081,116.35288200000001,40.05023,1111027378224,20160402,23,515.0,94.36,2.0,2,1,1.0,13,4.0,2006.0,4,6,0.33299999999999996,1.0,1.0,1.0,8,71309.0
290072,116.68852700000001,39.899167999999996,1111027381947,20140918,0,163.0,73.98,3.0,1,1,1.0,6,4.0,1992.0,3,2,0.5,0.0,1.0,0.0,11,43011.0
269914,116.229624,39.915003999999996,1111027378058,20120823,0,142.5,63.23,2.0,1,1,1.0,6,4.0,1983.0,1,2,0.25,0.0,1.0,0.0,9,51471.0
284279,116.644167,39.932673,1111027379777,20120603,0,190.0,147.23,3.0,2,1,2.0,7,4.0,2001.0,1,4,0.5,0.0,1.0,1.0,11,42790.0
216172,116.466526,39.806206,1111027378150,20151123,22,246.5,97.93,3.0,1,1,1.0,7,4.0,2003.0,3,6,0.5,0.0,1.0,0.0,4,46232.0
24662,116.41678,40.071013,1111027380055,20160915,9,490.0,158.33,3.0,1,1,2.0,13,4.0,2001.0,4,2,0.5,1.0,1.0,1.0,6,34439.0
273469,116.24700800000001,39.906426,1111027382209,20141203,5,465.0,144.15,3.0,2,1,2.0,27,3.0,2007.0,4,6,0.667,1.0,1.0,0.0,9,64222.0
10848,116.386156,39.91037,1111027381104,20160718,11,825.0,84.87,3.0,1,1,1.0,7,4.0,2004.0,1,6,0.2,0.0,1.0,1.0,10,109755.0
213312,116.348786,39.799417,1111045269268,20141004,1,260.0,99.8,2.0,1,1,1.0,15,4.0,2011.0,1,6,0.33299999999999996,1.0,0.0,0.0,4,56080.0
207568,116.33404499999999,39.757413,1111027382766,20120526,0,110.0,71.56,1.0,1,1,1.0,6,4.0,1994.0,1,2,0.5,0.0,0.0,1.0,4,39845.0
210177,116.32960700000001,39.758883000000004,1111027382734,20130220,0,150.0,71.08,2.0,1,1,1.0,6,4.0,,1,2,0.33299999999999996,0.0,1.0,1.0,4,35653.0
59310,116.529843,39.934036,1111027380871,20170307,16,2685.0,291.19,4.0,2,2,4.0,30,4.0,2006.0,4,6,1.0,1.0,1.0,1.0,7,84349.0
162828,116.462185,39.884984,1111027378741,20150306,2,176.0,53.95,2.0,1,1,1.0,6,4.0,1992.0,1,2,0.33299999999999996,0.0,1.0,1.0,7,55151.0
16990,116.306901,39.95663,1111027375710,20160720,3,445.0,49.72,2.0,1,1,1.0,24,1.0,1992.0,4,6,0.2,1.0,0.0,0.0,8,87507.0
144007,116.478715,39.916424,1111027380171,20130817,0,437.0,95.46,1.0,0,0,0.0,24,,,1,6,1.2,1.0,0.0,1.0,7,79774.0
148631,116.51173,39.92326,1111027376657,20140216,2,350.0,112.06,2.0,2,1,1.0,24,1.0,,1,6,0.375,1.0,1.0,1.0,7,49667.0
311532,116.352069,39.879651,1111027382663,20150929,10,440.0,112.36,2.0,1,1,1.0,22,1.0,2004.0,1,6,0.2,1.0,0.0,0.0,10,60772.0
287964,116.636774,39.918867,1111027381072,20130831,7,152.0,74.61,2.0,1,1,1.0,6,4.0,1998.0,1,2,0.5,0.0,1.0,0.0,11,35855.0
228323,116.41718,39.851679,1111027374516,20141018,8,184.0,59.99,1.0,1,1,1.0,20,1.0,2001.0,3,2,0.2,1.0,1.0,1.0,2,48814.0
104763,116.38138000000001,40.092631,1111027377945,20141107,6,248.0,129.64,3.0,2,1,2.0,5,4.0,2007.0,4,2,0.5,0.0,1.0,0.0,6,35386.0
35554,116.505017,39.928801,1111027376019,20161025,118,315.0,57.76,2.0,1,1,1.0,6,4.0,1985.0,4,2,0.5,0.0,1.0,1.0,7,54318.0
59699,116.289102,39.923448,1111027382487,20170215,23,1215.0,98.09,2.0,1,1,1.0,12,4.0,2006.0,4,6,0.5,1.0,1.0,0.0,8,104621.0
101190,116.43268400000001,40.077562,1111027380057,20131011,32,224.0,99.36,2.0,1,1,1.0,20,1.0,2008.0,1,6,0.25,1.0,1.0,0.0,6,38384.0
23045,116.447923,39.934558,1111027377234,20160906,0,900.0,278.06,4.0,1,1,1.0,8,3.0,2001.0,1,6,1.0,1.0,0.0,0.0,1,56427.0
279001,116.599448,40.048301,1111027378683,20130306,0,124.0,71.28,2.0,1,1,1.0,6,4.0,1993.0,1,2,0.5,0.0,1.0,0.0,13,35730.0
170103,116.445582,39.974979,1111027380573,20150606,3,340.0,81.14,3.0,1,1,1.0,20,1.0,1992.0,4,6,0.25,1.0,1.0,1.0,7,66102.0
280976,116.56021499999999,40.093,1111027377441,20141206,0,234.0,90.56,2.0,1,1,1.0,11,3.0,2007.0,3,6,0.25,1.0,1.0,1.0,13,47930.0
196606,116.41185800000001,39.869364000000004,1111027375142,20120921,0,218.0,80.65,2.0,1,1,1.0,12,3.0,2009.0,1,6,0.25,1.0,0.0,1.0,1,67507.0
19906,116.636725,40.031531,1111027381757,20160825,9,190.0,103.0,2.0,1,1,1.0,7,4.0,1999.0,3,2,0.5,0.0,0.0,0.0,13,30962.0
291475,116.693646,39.944018,1111027382527,20150606,4,171.8,93.76,2.0,1,1,1.0,11,3.0,,4,6,0.25,1.0,0.0,0.0,11,42995.0
46146,116.4201,39.980691,1111027374329,20161031,0,730.0,98.36,3.0,1,1,1.0,14,3.0,1998.0,1,6,0.2,1.0,0.0,1.0,7,76261.0
34925,116.418802,40.010659000000004,1111027375984,20160928,9,850.0,115.34,2.0,1,1,1.0,30,1.0,2008.0,3,6,0.4,1.0,0.0,1.0,7,79346.0
31670,116.285133,39.888467999999996,1111061037671,20160910,4,140.0,25.7,1.0,0,1,1.0,30,3.0,2012.0,2,6,0.5,1.0,0.0,0.0,2,61865.0
121783,116.56954499999999,39.910973999999996,1111027382009,20120422,0,105.0,64.41,1.0,1,1,1.0,17,3.0,2005.0,1,6,0.28600000000000003,1.0,0.0,0.0,7,44599.0
235517,116.38878600000001,39.857338,1111027379725,20151018,3,385.0,99.36,2.0,1,1,1.0,21,1.0,2003.0,4,6,0.25,1.0,1.0,1.0,2,52970.0
97323,116.421451,40.070785,1111027380046,20121013,0,13.7,160.02,3.0,2,1,2.0,9,4.0,2001.0,1,2,0.5,1.0,0.0,1.0,6,35393.0
189324,116.421749,39.978035999999996,1111027379248,20160319,31,268.0,56.46,2.0,1,1,1.0,5,4.0,1985.0,3,2,0.33299999999999996,0.0,0.0,1.0,7,67681.0
208804,116.430535,39.793209999999995,1111027377532,20120730,0,163.5,85.58,2.0,1,1,1.0,6,4.0,2003.0,1,2,0.5,0.0,1.0,0.0,2,41507.0
195343,116.426255,39.956607,1111027381711,20111025,0,625.0,171.16,3.0,2,1,2.0,16,3.0,,1,6,0.25,1.0,1.0,1.0,1,91904.0
187754,116.480923,39.900942,1111027379643,20160224,1,645.0,111.66,2.0,2,1,1.0,15,3.0,2004.0,4,6,0.5,1.0,1.0,1.0,7,79235.0
225192,116.244883,39.847396999999994,1111027381432,20130320,0,181.0,84.98,3.0,1,1,1.0,6,4.0,1997.0,1,2,0.5,0.0,0.0,0.0,2,39835.0
275188,116.229771,39.908514000000004,1111027377582,20151210,17,182.0,62.58,1.0,1,1,1.0,15,3.0,1995.0,4,6,0.375,1.0,1.0,0.0,9,45958.0
151613,116.409783,40.006303,1111027380378,20141116,4,503.0,147.47,4.0,2,1,2.0,14,3.0,1998.0,3,6,0.3,1.0,1.0,1.0,7,65860.0
278793,116.674322,40.12784,1111027381855,20130119,0,162.0,93.08,3.0,1,1,1.0,6,4.0,1999.0,1,2,0.5,0.0,0.0,0.0,13,41276.0
87220,116.445628,40.0364,1111027375924,20171202,10,261.0,40.09,1.0,0,1,1.0,10,3.0,2003.0,3,6,0.095,1.0,1.0,0.0,7,56733.0
77204,116.195177,39.932325,1111027382250,20170720,26,422.0,84.24,2.0,1,1,1.0,16,1.0,2000.0,4,6,0.222,1.0,0.0,0.0,9,47095.0
35284,116.497474,39.810115,1111027377957,20160929,30,150.0,35.51,1.0,0,1,1.0,24,1.0,2009.0,4,6,0.222,1.0,0.0,1.0,3,54282.0
217881,116.349167,39.742059000000005,1111027379169,20160327,3,470.0,173.58,3.0,2,1,2.0,8,3.0,2007.0,4,6,0.5,1.0,1.0,0.0,4,41472.0
307327,116.403304,39.891690999999994,1111027379974,20150118,1,252.0,56.33,1.0,1,1,1.0,7,4.0,2002.0,3,6,0.2,0.0,1.0,1.0,10,73910.0
152419,116.510719,39.927015000000004,1111027379292,20140610,0,630.0,155.36,3.0,2,1,2.0,20,3.0,2008.0,4,6,0.667,1.0,0.0,1.0,7,68319.0
282173,116.66592299999999,40.186753,1111027381403,20150726,2,49.0,32.66,1.0,0,1,1.0,15,4.0,2014.0,4,6,0.136,1.0,0.0,0.0,13,43948.0
226391,116.329675,39.876404,1111027378236,20140402,14,520.0,131.3,3.0,2,1,2.0,24,1.0,2008.0,1,6,0.2,1.0,1.0,0.0,2,64575.0
266663,116.369475,40.069842,1111027374195,20160311,3,605.0,130.19,3.0,2,1,2.0,5,4.0,2001.0,4,2,0.5,0.0,0.0,0.0,8,67509.0
212277,116.347563,39.729069,1111027378119,20140215,5,160.0,61.2,2.0,1,1,1.0,6,4.0,1994.0,1,2,0.5,0.0,1.0,0.0,4,38263.0
267194,116.289427,39.959175,1111027381601,20160507,15,1150.0,173.19,3.0,1,1,2.0,16,1.0,2002.0,4,6,0.25,1.0,1.0,1.0,8,92121.0
237196,116.41688799999999,39.850187,1111027378473,20160411,18,211.0,70.34,3.0,1,1,1.0,6,4.0,1990.0,3,4,0.2,0.0,0.0,1.0,2,50104.0
141327,116.47773000000001,40.002156,1111027380317,20131109,32,360.0,91.73,2.0,1,1,1.0,26,1.0,1997.0,1,6,0.25,1.0,1.0,1.0,7,60348.0
71951,116.328627,39.979037,1111027382321,20171231,120,602.0,61.6,2.0,1,1,1.0,18,1.0,1988.0,3,6,0.2,1.0,1.0,1.0,8,96866.0
23228,116.288983,39.964721999999995,1111027376686,20160911,75,890.0,117.08,3.0,2,1,1.0,17,1.0,2007.0,4,6,0.214,1.0,1.0,1.0,8,94597.0
144645,116.43445700000001,39.99285,1111027374792,20140720,11,229.0,50.77,2.0,1,1,1.0,6,4.0,1991.0,1,2,0.5,0.0,1.0,1.0,7,72828.0
221504,116.36997099999999,39.856204,1111027381065,20120429,0,144.0,62.85,1.0,1,1,1.0,24,1.0,2002.0,1,6,0.25,1.0,1.0,1.0,2,58941.0
165498,116.421749,39.978035999999996,1111027379248,20150619,3,280.0,67.24,2.0,1,1,1.0,5,4.0,1993.0,3,2,0.33299999999999996,0.0,1.0,1.0,7,67681.0
197816,116.41383799999998,39.895714,1111027377501,20130424,0,150.0,49.55,1.0,1,1,1.0,6,3.0,2002.0,1,6,0.2,0.0,1.0,1.0,1,82323.0
29253,116.34498500000001,39.891739,1111027381801,20160823,3,793.0,90.81,2.0,1,1,1.0,25,1.0,2006.0,4,6,0.25,1.0,1.0,1.0,10,89350.0
126443,116.51151999999999,39.901436,1111027381719,20120618,0,111.0,46.34,1.0,1,1,1.0,4,4.0,2007.0,1,6,0.5,0.0,0.0,1.0,7,62702.0
30390,116.571023,39.909615,1111027380034,20160831,7,302.0,103.0,2.0,1,1,1.0,11,4.0,2005.0,1,6,0.5,1.0,1.0,0.0,7,43990.0
22212,116.212671,39.900574,1111027379019,20160902,2,541.0,89.36,2.0,1,1,1.0,17,3.0,2012.0,4,6,0.5,1.0,0.0,0.0,9,57942.0
315087,116.350151,39.915176,1111027379416,20160413,21,750.0,88.8,3.0,0,1,1.0,4,4.0,1993.0,3,4,0.33299999999999996,0.0,1.0,1.0,10,104664.0
227063,116.39783899999999,39.868935,1111027381044,20130924,0,228.0,65.82,2.0,1,1,1.0,24,1.0,1993.0,1,6,0.25,1.0,0.0,1.0,2,55055.0
210492,116.527286,39.829962,1111027377361,20130706,4,295.0,86.32,2.0,2,0,1.0,7,4.0,2010.0,1,6,0.5,1.0,0.0,0.0,4,52753.0
162641,116.417902,40.004014,1111027382176,20150331,0,180.0,46.48,1.0,1,1,1.0,6,4.0,1991.0,1,2,0.5,0.0,0.0,1.0,7,72877.0
96107,116.43268400000001,40.077562,1111027380057,20120920,0,258.0,148.29,3.0,2,1,2.0,10,3.0,2008.0,1,6,0.5,1.0,0.0,0.0,6,38384.0
95767,116.33376499999999,40.078920000000004,1111027378234,20120701,0,113.5,47.67,1.0,0,1,1.0,20,1.0,,1,6,0.4,1.0,0.0,1.0,6,52980.0
234357,116.29593799999999,39.873528,1111027380521,20150718,1,315.0,83.1,2.0,1,1,1.0,6,4.0,1998.0,1,2,0.5,0.0,1.0,1.0,2,56819.0
14096,116.372422,39.944412,1111027374840,20160626,19,447.0,54.1,1.0,1,1,1.0,10,3.0,1998.0,4,6,0.11800000000000001,1.0,1.0,1.0,10,103277.0
249565,116.351677,39.980567,1111027378230,20130918,15,280.5,59.82,2.0,1,1,1.0,9,4.0,1998.0,1,6,0.33299999999999996,0.0,1.0,1.0,8,74710.0
69188,116.52946599999999,39.928033,1111027379804,20170323,10,1240.0,138.62,2.0,2,1,2.0,23,3.0,2008.0,4,6,0.5,1.0,0.0,1.0,7,83321.0
281344,116.670101,40.118728999999995,1111027379626,20150415,0,182.0,107.06,3.0,1,1,1.0,18,1.0,2003.0,4,2,0.25,1.0,1.0,0.0,13,34694.0
149250,116.61412,39.903674,1111046826212,20150103,13,220.0,87.78,2.0,2,1,1.0,18,3.0,2012.0,2,6,0.4,1.0,0.0,0.0,7,48973.0
82308,116.428467,39.902511,1111027380931,20171225,47,810.0,78.32,1.0,1,1,1.0,9,4.0,2013.0,4,6,0.667,1.0,0.0,1.0,1,87809.0
143526,116.4388,40.054941,1111027375158,20130907,2,240.0,66.68,1.0,1,1,1.0,28,3.0,,1,6,0.19,1.0,0.0,1.0,7,77695.0
141468,116.462185,39.884984,1111027378741,20130615,2,260.0,65.7,2.0,1,1,1.0,18,1.0,1998.0,1,6,0.14300000000000002,1.0,1.0,1.0,7,55151.0
